submission_id;question_id;module_id;teacher;option_id;answer_value
31;1;;;1;
32;1;;;1;
33;1;;;1;
34;1;;;3;
35;1;;;6;
36;1;;;6;
35;2;;;10;
36;2;;;7;
36;2;;;10;
36;2;;;13;
35;3;;;;pas assez dasso
36;3;;;;nullll
35;4;;;;La vie associative permet de rencontrer d’autres étudiants et de créer une bonne ambiance sur le campus.
36;4;;;;L’ambiance entre les étudiants reste conviviale et certains espaces du campus sont agréables.
32;5;;;;L’ambiance sur le campus est agréable et les échanges entre étudiants sont faciles.
34;5;;;;Très belle école
32;6;;;14;
33;6;;;14;
34;6;;;16;
35;6;;;19;
31;6;;;14;
36;6;;;19;
35;7;;;21;
36;7;;;20;
36;7;;;22;
36;7;;;23;
35;8;;;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
36;8;;;;les pofs sont nuuuuuls
35;9;;;;Les sujets abordés sont utiles pour construire un profil polyvalent en data et en intelligence artificielle.
36;9;;;;Les travaux pratiques permettent d’appliquer concrètement plusieurs notions vues en cours.
32;10;;;;so far so good
34;10;;;;Cursus assez complet
31;11;62;Xavier C.;24;
32;11;62;Xavier C.;25;
33;11;62;Xavier C.;24;
34;11;62;Xavier C.;24;
35;11;62;Xavier C.;24;
31;12;62;Xavier C.;26;
33;12;62;Xavier C.;26;
34;12;62;Xavier C.;28;
35;12;62;Xavier C.;31;
35;13;62;Xavier C.;32;
36;13;62;Xavier C.;32;
36;13;62;Xavier C.;36;
36;13;62;Xavier C.;39;
35;14;62;Xavier C.;;Beaucoup trop de charge de tavaille.
36;14;62;Xavier C.;;Je suis globalement déçu par ce cours. Je n’ai pas eu l’impression de progresser malgré le temps passé dessus.
35;15;62;Xavier C.;;Les exercices d’automatisation étaient intéressants et directement applicables.
34;16;62;Xavier C.;;Je suis très satisfait de la qualité des enseignements. Les professeurs sont disponibles, pédagogues et prennent le temps de répondre aux questions. Cela aide beaucoup à progresser.
31;11;63;Xavier C.;24;
32;11;63;Xavier C.;25;
33;11;63;Xavier C.;24;
34;11;63;Xavier C.;24;
35;11;63;Xavier C.;24;
31;12;63;Xavier C.;26;
33;12;63;Xavier C.;26;
34;12;63;Xavier C.;28;
35;12;63;Xavier C.;31;
35;13;63;Xavier C.;34;
35;13;63;Xavier C.;36;
36;13;63;Xavier C.;32;
36;13;63;Xavier C.;35;
36;13;63;Xavier C.;39;
35;14;63;Xavier C.;;Les notions sont importantes, mais elles ne sont pas toujours suffisamment expliquées.
36;14;63;Xavier C.;;Le cours manque clairement de structure. On passe d’un sujet à l’autre sans vraie logique, ce qui rend la compréhension très difficile.
35;15;63;Xavier C.;;Les cas d’usage abordés ont montré l’intérêt des architectures de services complexes.
36;15;63;Xavier C.;;Le module présente des problématiques techniques utiles pour comprendre les échanges entre services.
34;16;63;Xavier C.;;Les cours sont bien organisés et les enseignants maîtrisent très bien leurs sujets. Les supports sont utiles et les notions importantes sont bien expliquées.
31;11;61;Théo B.;24;
32;11;61;Théo B.;25;
33;11;61;Théo B.;24;
34;11;61;Théo B.;24;
35;11;61;Théo B.;24;
31;12;61;Théo B.;26;
33;12;61;Théo B.;26;
34;12;61;Théo B.;28;
35;12;61;Théo B.;31;
35;13;61;Théo B.;34;
36;13;61;Théo B.;32;
36;13;61;Théo B.;35;
36;13;61;Théo B.;39;
35;14;61;Théo B.;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
36;14;61;Théo B.;;boffff
35;15;61;Théo B.;;Les démonstrations pratiques ont permis de découvrir concrètement les principaux services cloud.
34;16;61;Théo B.;;Les enseignants sont très investis et savent rendre les cours intéressants. Les explications sont claires, les exemples sont pertinents et l’ambiance en cours donne envie de participer.
31;11;66;Enzo F.;24;
32;11;66;Enzo F.;25;
33;11;66;Enzo F.;24;
34;11;66;Enzo F.;24;
35;11;66;Enzo F.;24;
31;12;66;Enzo F.;26;
33;12;66;Enzo F.;26;
34;12;66;Enzo F.;28;
35;12;66;Enzo F.;31;
35;13;66;Enzo F.;32;
35;13;66;Enzo F.;36;
35;13;66;Enzo F.;38;
36;13;66;Enzo F.;32;
36;13;66;Enzo F.;35;
36;13;66;Enzo F.;39;
35;14;66;Enzo F.;;Le sujet est actuel et motivant, mais le module pourrait être mieux cadré.
36;14;66;Enzo F.;;Le cours manque d’interaction. On a surtout l’impression d’écouter passivement sans être vraiment impliqués.
35;15;66;Enzo F.;;Les mises en pratique autour des LLM sont actuelles et particulièrement intéressantes.
36;15;66;Enzo F.;;Les outils présentés donnent un bon aperçu des possibilités offertes par l’intelligence artificielle générative.
34;16;66;Enzo F.;;Les enseignants sont très investis et savent rendre les cours intéressants. Les explications sont claires, les exemples sont pertinents et l’ambiance en cours donne envie de participer.
31;11;64;Thalita D.;24;
32;11;64;Thalita D.;25;
33;11;64;Thalita D.;24;
34;11;64;Thalita D.;24;
35;11;64;Thalita D.;24;
31;12;64;Thalita D.;26;
33;12;64;Thalita D.;26;
34;12;64;Thalita D.;28;
35;12;64;Thalita D.;31;
35;13;64;Thalita D.;33;
35;13;64;Thalita D.;36;
35;13;64;Thalita D.;38;
36;13;64;Thalita D.;32;
36;13;64;Thalita D.;35;
36;13;64;Thalita D.;39;
35;14;64;Thalita D.;;Le module est dense et le rythme est parfois trop rapide. Certaines notions complexes mériteraient d’être reprises plus progressivement avec plus d’exercices guidés.
36;14;64;Thalita D.;;Le rythme du cours est mal adapté. Certaines notions importantes sont survolées alors que d’autres moins utiles prennent beaucoup trop de temps.
35;15;64;Thalita D.;;Les sujets étudiés sont stimulants et les exemples donnent envie d’approfondir le machine learning.
36;15;64;Thalita D.;;La découverte des réseaux de neurones apporte des connaissances utiles pour de futurs projets.
34;16;64;Thalita D.;;J’ai beaucoup apprécié l’implication des professeurs. Ils rendent les séances dynamiques et accessibles, même lorsque les notions sont complexes.
31;11;65;Maksim K.;24;
32;11;65;Maksim K.;25;
33;11;65;Maksim K.;24;
34;11;65;Maksim K.;24;
35;11;65;Maksim K.;24;
31;12;65;Maksim K.;26;
33;12;65;Maksim K.;26;
34;12;65;Maksim K.;28;
35;12;65;Maksim K.;31;
35;13;65;Maksim K.;33;
35;13;65;Maksim K.;36;
35;13;65;Maksim K.;38;
36;13;65;Maksim K.;32;
36;13;65;Maksim K.;35;
36;13;65;Maksim K.;39;
35;14;65;Maksim K.;;Le cours manque parfois de pédagogie et d’exemples pratiques.
36;14;65;Maksim K.;;Je suis globalement déçu par ce cours. Je n’ai pas eu l’impression de progresser malgré le temps passé dessus.
35;15;65;Maksim K.;;Les applications concrètes du traitement du langage sont motivantes et utiles pour la suite.
36;15;65;Maksim K.;;Le module permet de découvrir plusieurs usages actuels du traitement automatique du langage.
34;16;65;Maksim K.;;Les enseignants sont motivants et à l’écoute. On sent qu’ils cherchent vraiment à nous accompagner et à nous faire comprendre les concepts en profondeur.
31;11;69;Issame B.;24;
32;11;69;Issame B.;25;
33;11;69;Issame B.;24;
34;11;69;Issame B.;24;
35;11;69;Issame B.;24;
31;12;69;Issame B.;26;
33;12;69;Issame B.;26;
